Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,DNP
C1,1206,1,100nF,
C3,1206,1,10uF,
D1,D_SMA_Handsoldering,1,SS14,
D2,1206,1,LED,C49018
J1,IDC-Header_2x17_P2.54mm_Vertical,1,Conn_02x17_Odd_Even,DNP
J2,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,DNP
"J3, J4",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,DNP
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,BSS138,
"R1, R11, R2, R3, R4, R5, R6, R7, R8, R9",1206,10,1k,C1469
R10,1206,1,10k,C1489
U1,RaspberryPi_Pico_W_SMD_HandSolder,1,RaspberryPi_Pico_W,DNP
U2,SOIC-20W_7.5x15.4mm_P1.27mm,1,74LVC541A,DNP
