Designator,Mid X,Mid Y,Rotation,Layer
BZ1,118.8,-117.0,0.0,top
C1,130.55,-119.95,180.0,top
C3,128.0,-139.25,180.0,top
D1,134.15,-146.85,270.0,top
D2,124.05,-107.7,270.0,top
J1,107.27,-127.31,0.0,top
J2,125.39,-142.35,270.0,top
J3,130.26,-103.15,90.0,top
J4,117.86,-103.15,90.0,top
Q1,114.65,-107.7875,0.0,top
Q2,118.6,-107.7875,0.0,top
Q3,114.75,-141.05,0.0,top
Q4,114.75,-144.5,0.0,top
Q5,114.75,-147.95,0.0,top
Q6,114.7625,-151.4,0.0,top
Q7,127.4,-113.3,0.0,top
Q8,127.3875,-116.7,0.0,top
R1,113.35,-136.4,270.0,top
R10,134.15,-110.05,90.0,top
R11,136.45,-110.05,270.0,top
R2,115.8,-136.4,270.0,top
R3,118.25,-136.4,90.0,top
R4,113.35,-130.7,270.0,top
R5,115.8,-130.7,270.0,top
R6,118.25,-130.7,90.0,top
R7,113.35,-125.55,270.0,top
R8,115.85,-125.55,90.0,top
R9,128.4,-107.6,90.0,top
U1,149.7159,-127.95,0.0,top
U2,127.575,-130.0,270.0,top
