Ref,Qty,Value,Package,Description,Minimum characteristics,Acceptable alternatives,Do not substitute with,Notes
U1,1,Pimoroni Pico Plus 2 W,Module; two 1x20 rows 17.78 mm apart,RP2350B + RM2 wireless + 8MB PSRAM + 16MB flash,"RP2350 (needs PIO + second QSPI CS); >=2MB PSRAM; 2.4GHz WiFi; Pico-compatible 40-pin castellation layout with GP0-GP17 in Pico positions","Any RP2350 board with onboard PSRAM AND wireless in the Pico form factor","Raspberry Pi Pico 2 W (no PSRAM); Pimoroni Pico Plus 2 non-W (no radio); any RP2040 board (no PSRAM support, no second QSPI CS)",Pimoroni PIM726. Ships without headers. Firmware sets PICO_BOARD=pimoroni_pico_plus2_w_rp2350.
U2,1,74LVC541A,SOIC-20W (7.5 mm body),Octal buffer with 5V-tolerant inputs,"Vcc 3.3V operation; inputs tolerant to 5.5V with Vcc=3.3V; propagation delay <=10 ns; output drive >=8 mA; 20-pin wide-body SOIC","SN74LVC541ADW / SN74LVC541ADWR (TI); 74LVC541AD (Nexperia); 74LVCH541A (adds bus-hold, harmless here)","74HC541 / 74HCT541 / 74AHC541 (inputs NOT 5V tolerant at 3.3V Vcc - will be damaged); TSSOP or narrow SOIC-20 versions (wrong footprint)",The 5V tolerance is the whole reason this part exists in the design. Check the datasheet input clamp spec before substituting.
Q1-Q6,6,BSS138,SOT-23,N-channel logic-level MOSFET,"Vds >=20V; Vgs(th) max <=2.0V (must fully enhance from a 3.3V gate); Rds(on) <=10 ohm at Vgs=3.3V; Id >=100 mA; Ciss <=100 pF; SOT-23 pinout G/S/D","BSS138LT1G; 2N7002E; DMN2075U; any logic-level SOT-23 N-FET meeting the above","Standard 2N7002 (Vgs(th) up to 2.5V - marginal or non-conducting from a 3.3V gate); any FET specified only at Vgs=10V",Open-drain drivers; gate drive is inverting (GPIO high = bus asserted low). Q5 carries RDATA at a 2 us bitcell so keep Ciss low; the rising edge is set by the host's pull-up and cable capacitance.
D1,1,SS14,SMA (DO-214AC),Schottky rectifier,"Schottky only; Vr >=20V; If >=0.5A; Vf <=0.55V at 500 mA; SMA footprint","SS12; SS13; B140; MBRS140; 1N5819 in SMA","Any standard silicon rectifier (1N4001/1N4148 etc) - the ~0.7-1.0V drop sags VSYS",Isolates the 5V feed so the board can be powered from the floppy connector and USB simultaneously. Low Vf matters more than current rating; the module draws well under 500 mA.
C1,1,100nF,0603,Ceramic decoupling capacitor,"X7R or X5R dielectric; >=16V (50V preferred); tolerance +/-10% or +/-20% - not critical","Any X7R 0603 16V-50V; 0402 or 0805 will also bridge the pads with care","Y5V or Z5U dielectric (capacitance collapses over temperature, up to -80%)",Place close to U2 pin 20.
C3,1,10uF,0805,Ceramic bulk capacitor,"X5R or X7R dielectric; >=16V rating (25V preferred); tolerance +/-20% is normal","Any X5R/X7R 0805 16V-25V; tantalum or electrolytic >=10uF also acceptable here","6.3V-rated MLCC (DC bias derating loses over half the capacitance at 5V); Y5V/Z5U dielectric",Voltage rating matters far more than tolerance because of DC bias derating.
J1,1,2x17 pin header,2.54 mm pitch THT male dual row,34-way floppy interface header,"2.54 mm pitch both axes; 0.64 mm square posts; mating length >=6 mm; current >=1A per contact; unshrouded","Any 2x17 2.54 mm male header; a 2x20 header cut down to 17 positions","Shrouded/boxed IDC header - its 10.16 mm body overhangs the Q1-Q6 pads by 1.35 mm and will not fit rev A",Mates with a standard 34-way ribbon with female IDC sockets. Pin 1 is a square pad and marked on silkscreen.
J2,1,1x4 pin header,2.54 mm pitch THT male single row,Power input,"2.54 mm pitch; 0.64 mm square posts; current >=2A per contact for the 5V pin","Any 1x4 2.54 mm male header; or solder wires directly to the pads","Connectors on 2.0 mm or 0.1 in-incompatible pitch","Pin 1 = +5V, pins 2/3 = GND, pin 4 = +12V (routed to the header only, unused by the board)."
-,2,1x20 pin header,2.54 mm pitch THT male SINGLE row,Headers to mount U1,"2.54 mm pitch; 20 positions; 0.64 mm square posts; body height to suit your standoff","Two 1x20 single-row headers, or a 1x40 strip snapped into two 20-way pieces","A 2x20 DUAL-ROW header - the Pico's two rows are 17.78 mm apart, not 2.54 mm",Two separate single rows. Pimoroni boards ship bare.
PCB,1,wifi_floppy rev A,96 x 62 mm 2-layer,FR-4,"2 layers; 1.6 mm; 1 oz outer copper; min track 0.30 mm; min drill 0.35 mm; tented vias",HASL or ENIG finish both fine,-,Ordered from JLCPCB.
